row_id,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1,AFG,2021-02-22,0,0,0,0,0,0
2,AFG,2021-02-23,0,0,0,0,0,0
3,AFG,2021-02-24,0,0,0,0,0,0
4,AFG,2021-02-25,0,0,0,0,0,0
5,AFG,2021-02-26,0,0,0,0,0,0
6,AFG,2021-02-27,0,0,0,0,0,0
7,AFG,2021-02-28,8200,8200,0,0.02,0.02,0
8,AFG,2021-03-01,0,0,0,0,0,0
9,AFG,2021-03-02,0,0,0,0,0,0
10,AFG,2021-03-03,0,0,0,0,0,0
11,AFG,2021-03-04,0,0,0,0,0,0
12,AFG,2021-03-05,0,0,0,0,0,0
13,AFG,2021-03-06,0,0,0,0,0,0
14,AFG,2021-03-07,0,0,0,0,0,0
15,AFG,2021-03-08,0,0,0,0,0,0
16,AFG,2021-03-09,0,0,0,0,0,0
17,AFG,2021-03-10,0,0,0,0,0,0
18,AFG,2021-03-11,0,0,0,0,0,0
19,AFG,2021-03-12,0,0,0,0,0,0
20,AFG,2021-03-13,0,0,0,0,0,0
21,AFG,2021-03-14,0,0,0,0,0,0
22,AFG,2021-03-15,0,0,0,0,0,0
23,AFG,2021-03-16,54000,54000,0,0.14,0.14,0
24,AFG,2021-03-17,0,0,0,0,0,0
25,AFG,2021-03-18,0,0,0,0,0,0
26,AFG,2021-03-19,0,0,0,0,0,0
27,AFG,2021-03-20,0,0,0,0,0,0
28,AFG,2021-03-21,0,0,0,0,0,0
29,AFG,2021-03-22,0,0,0,0,0,0
30,AFG,2021-03-23,0,0,0,0,0,0
31,AFG,2021-03-24,0,0,0,0,0,0
32,AFG,2021-03-25,0,0,0,0,0,0
33,AFG,2021-03-26,0,0,0,0,0,0
34,AFG,2021-03-27,0,0,0,0,0,0
35,AFG,2021-03-28,0,0,0,0,0,0
36,AFG,2021-03-29,0,0,0,0,0,0
37,AFG,2021-03-30,0,0,0,0,0,0
38,AFG,2021-03-31,0,0,0,0,0,0
39,AFG,2021-04-01,0,0,0,0,0,0
40,AFG,2021-04-02,0,0,0,0,0,0
41,AFG,2021-04-03,0,0,0,0,0,0
42,AFG,2021-04-04,0,0,0,0,0,0
43,AFG,2021-04-05,0,0,0,0,0,0
44,AFG,2021-04-06,0,0,0,0,0,0
45,AFG,2021-04-07,120000,120000,0,0.31,0.31,0
46,ALB,2021-01-10,0,0,0,0,0,0
47,ALB,2021-01-11,0,0,0,0,0,0
48,ALB,2021-01-12,128,128,0,0,0,0
49,ALB,2021-01-13,188,188,0,0.01,0.01,0
50,ALB,2021-01-14,266,266,0,0.01,0.01,0
51,ALB,2021-01-15,308,308,0,0.01,0.01,0
52,ALB,2021-01-16,369,369,0,0.01,0.01,0
53,ALB,2021-01-17,405,405,0,0.01,0.01,0
54,ALB,2021-01-18,447,447,0,0.02,0.02,0
55,ALB,2021-01-19,483,483,0,0.02,0.02,0
56,ALB,2021-01-20,519,519,0,0.02,0.02,0
57,ALB,2021-01-21,549,549,0,0.02,0.02,0
58,ALB,2021-01-22,0,0,0,0,0,0
59,ALB,2021-01-23,0,0,0,0,0,0
60,ALB,2021-01-24,0,0,0,0,0,0
61,ALB,2021-01-25,0,0,0,0,0,0
62,ALB,2021-01-26,0,0,0,0,0,0
63,ALB,2021-01-27,0,0,0,0,0,0
64,ALB,2021-01-28,0,0,0,0,0,0
65,ALB,2021-01-29,0,0,0,0,0,0
66,ALB,2021-01-30,0,0,0,0,0,0
67,ALB,2021-01-31,0,0,0,0,0,0
68,ALB,2021-02-01,0,0,0,0,0,0
69,ALB,2021-02-02,550,549,1,0.02,0.02,0
70,ALB,2021-02-03,0,0,0,0,0,0
71,ALB,2021-02-04,0,0,0,0,0,0
72,ALB,2021-02-05,0,0,0,0,0,0
73,ALB,2021-02-06,0,0,0,0,0,0
74,ALB,2021-02-07,0,0,0,0,0,0
75,ALB,2021-02-08,0,0,0,0,0,0
76,ALB,2021-02-09,1127,689,438,0.04,0.02,0.02
77,ALB,2021-02-10,0,0,0,0,0,0
78,ALB,2021-02-11,0,0,0,0,0,0
79,ALB,2021-02-12,0,0,0,0,0,0
80,ALB,2021-02-13,0,0,0,0,0,0
81,ALB,2021-02-14,0,0,0,0,0,0
82,ALB,2021-02-15,0,0,0,0,0,0
83,ALB,2021-02-16,0,0,0,0,0,0
84,ALB,2021-02-17,1701,1090,611,0.06,0.04,0.02
85,ALB,2021-02-18,3049,2438,611,0.11,0.08,0.02
86,ALB,2021-02-19,4177,0,0,0.15,0,0
87,ALB,2021-02-20,0,0,0,0,0,0
88,ALB,2021-02-21,0,0,0,0,0,0
89,ALB,2021-02-22,6728,6073,655,0.23,0.21,0.02
90,ALB,2021-02-23,0,0,0,0,0,0
91,ALB,2021-02-24,0,0,0,0,0,0
92,ALB,2021-02-25,10135,0,0,0.35,0,0
93,ALB,2021-02-26,0,0,0,0,0,0
94,ALB,2021-02-27,0,0,0,0,0,0
95,ALB,2021-02-28,0,0,0,0,0,0
96,ALB,2021-03-01,14295,0,0,0.5,0,0
97,ALB,2021-03-02,0,0,0,0,0,0
98,ALB,2021-03-03,15793,0,0,0.55,0,0
99,ALB,2021-03-04,0,0,0,0,0,0
100,ALB,2021-03-05,0,0,0,0,0,0
101,ALB,2021-03-06,0,0,0,0,0,0
102,ALB,2021-03-07,0,0,0,0,0,0
103,ALB,2021-03-08,0,0,0,0,0,0
104,ALB,2021-03-09,0,0,0,0,0,0
105,ALB,2021-03-10,21613,0,0,0.75,0,0
106,ALB,2021-03-11,0,0,0,0,0,0
107,ALB,2021-03-12,23635,0,0,0.82,0,0
108,ALB,2021-03-13,0,0,0,0,0,0
109,ALB,2021-03-14,0,0,0,0,0,0
110,ALB,2021-03-15,0,0,0,0,0,0
111,ALB,2021-03-16,0,0,0,0,0,0
112,ALB,2021-03-17,33369,0,0,1.16,0,0
113,ALB,2021-03-18,0,0,0,0,0,0
114,ALB,2021-03-19,0,0,0,0,0,0
115,ALB,2021-03-20,0,0,0,0,0,0
116,ALB,2021-03-21,0,0,0,0,0,0
117,ALB,2021-03-22,48229,0,0,1.68,0,0
118,ALB,2021-03-23,51690,0,0,1.8,0,0
119,ALB,2021-03-24,53992,0,0,1.88,0,0
120,ALB,2021-03-25,59348,0,0,2.06,0,0
121,ALB,2021-03-26,62248,0,0,2.16,0,0
122,ALB,2021-03-27,64075,0,0,2.23,0,0
123,ALB,2021-03-28,78000,0,0,2.71,0,0
124,ALB,2021-03-29,0,0,0,0,0,0
125,ALB,2021-03-30,119321,0,0,4.15,0,0
126,ALB,2021-03-31,138846,0,0,4.82,0,0
127,ALB,2021-04-01,155463,0,0,5.4,0,0
128,ALB,2021-04-02,172486,0,0,5.99,0,0
129,ALB,2021-04-03,185496,0,0,6.45,0,0
130,ALB,2021-04-04,192882,0,0,6.7,0,0
131,ALB,2021-04-05,206708,0,0,7.18,0,0
132,ALB,2021-04-06,221588,0,0,7.7,0,0
133,ALB,2021-04-07,232379,0,0,8.07,0,0
134,ALB,2021-04-08,242542,0,0,8.43,0,0
135,ALB,2021-04-09,250676,0,0,8.71,0,0
136,ALB,2021-04-10,256810,0,0,8.92,0,0
137,ALB,2021-04-11,0,0,0,0,0,0
138,ALB,2021-04-12,267531,0,0,9.3,0,0
139,DZA,2021-01-29,0,0,0,0,0,0
140,DZA,2021-01-30,30,0,0,0,0,0
141,DZA,2021-01-31,0,0,0,0,0,0
142,DZA,2021-02-01,0,0,0,0,0,0
143,DZA,2021-02-02,0,0,0,0,0,0
144,DZA,2021-02-03,0,0,0,0,0,0
145,DZA,2021-02-04,0,0,0,0,0,0
146,DZA,2021-02-05,0,0,0,0,0,0
147,DZA,2021-02-06,0,0,0,0,0,0
148,DZA,2021-02-07,0,0,0,0,0,0
149,DZA,2021-02-08,0,0,0,0,0,0
150,DZA,2021-02-09,0,0,0,0,0,0
151,DZA,2021-02-10,0,0,0,0,0,0
152,DZA,2021-02-11,0,0,0,0,0,0
153,DZA,2021-02-12,0,0,0,0,0,0
154,DZA,2021-02-13,0,0,0,0,0,0
155,DZA,2021-02-14,0,0,0,0,0,0
156,DZA,2021-02-15,0,0,0,0,0,0
157,DZA,2021-02-16,0,0,0,0,0,0
158,DZA,2021-02-17,0,0,0,0,0,0
159,DZA,2021-02-18,0,0,0,0,0,0
160,DZA,2021-02-19,75000,0,0,0.17,0,0
161,AND,2021-01-25,576,576,0,0.75,0.75,0
162,AND,2021-01-26,0,0,0,0,0,0
163,AND,2021-01-27,0,0,0,0,0,0
164,AND,2021-01-28,0,0,0,0,0,0
