iso_code,vaccines
AFG,Oxford/AstraZeneca
ALB,Pfizer/BioNTech/ Sinovac
DZA,Sputnik V
AND,Pfizer/BioNTech
AGO,Oxford/AstraZeneca
AIA,Oxford/AstraZeneca
ATG,Oxford/AstraZeneca
ARG,Oxford/AstraZeneca/ Sinopharm/Beijing/ Sputnik V
ARM,Sputnik V
AUS,Oxford/AstraZeneca/ Pfizer/BioNTech
AUT,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
AZE,Sinovac
BHS,Oxford/AstraZeneca
BHR,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinopharm/Beijing/ Sputnik V
BGD,Oxford/AstraZeneca
BRB,Oxford/AstraZeneca
BLR,Sputnik V
BEL,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
BLZ,Oxford/AstraZeneca
BMU,Pfizer/BioNTech
BTN,Oxford/AstraZeneca
BOL,Oxford/AstraZeneca/ Sinopharm/Beijing/ Sputnik V
BIH,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sputnik V
BWA,Oxford/AstraZeneca
BRA,Oxford/AstraZeneca/ Sinovac
BRN,Oxford/AstraZeneca
BGR,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
KHM,Oxford/AstraZeneca/ Sinopharm/Beijing/ Sinovac
CAN,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
CPV,Oxford/AstraZeneca
CYM,Pfizer/BioNTech
CHL,Pfizer/BioNTech/ Sinovac
CHN,Sinopharm/Beijing/ Sinopharm/Wuhan/ Sinovac
COL,Pfizer/BioNTech/ Sinovac
CRI,Pfizer/BioNTech
CIV,Oxford/AstraZeneca
HRV,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
CYP,Pfizer/BioNTech
CZE,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
DNK,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
DMA,Oxford/AstraZeneca
DOM,Oxford/AstraZeneca/ Sinovac
ECU,Pfizer/BioNTech
EGY,Oxford/AstraZeneca/ Sinopharm/Beijing
SLV,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinovac
OWID_ENG,Oxford/AstraZeneca/ Pfizer/BioNTech
GNQ,Sinopharm/Beijing
EST,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
SWZ,Oxford/AstraZeneca
FRO,Moderna/ Pfizer/BioNTech
FLK,Oxford/AstraZeneca
FIN,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
FRA,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
GAB,Sinopharm/Beijing
GMB,Oxford/AstraZeneca
GEO,Oxford/AstraZeneca
DEU,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
GHA,Oxford/AstraZeneca
GIB,Pfizer/BioNTech
GRC,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
GRL,Pfizer/BioNTech
GRD,Oxford/AstraZeneca
GTM,Moderna/ Oxford/AstraZeneca
GGY,Oxford/AstraZeneca/ Pfizer/BioNTech
GIN,Sputnik V
GUY,Oxford/AstraZeneca
HND,Moderna/ Oxford/AstraZeneca
HKG,Pfizer/BioNTech/ Sinovac
HUN,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinopharm/Beijing/ Sputnik V
ISL,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
IND,Covaxin/ Oxford/AstraZeneca
IDN,Oxford/AstraZeneca/ Sinovac
IRN,Sputnik V
IRQ,Oxford/AstraZeneca/ Sinopharm/Beijing
IRL,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
IMN,Oxford/AstraZeneca/ Pfizer/BioNTech
ISR,Moderna/ Pfizer/BioNTech
ITA,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
JAM,Oxford/AstraZeneca
JPN,Pfizer/BioNTech
JEY,Oxford/AstraZeneca/ Pfizer/BioNTech
JOR,Pfizer/BioNTech/ Sinopharm/Beijing
KAZ,Sputnik V
KEN,Oxford/AstraZeneca
OWID_KOS,Oxford/AstraZeneca
KWT,Pfizer/BioNTech
KGZ,Sinopharm/Beijing
LAO,Sinopharm/Beijing/ Sputnik V
LVA,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
LBN,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinopharm/Beijing/ Sputnik V
LIE,Moderna/ Pfizer/BioNTech
LTU,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
LUX,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
MAC,Pfizer/BioNTech/ Sinopharm/Beijing
MWI,Oxford/AstraZeneca
MYS,Pfizer/BioNTech/ Sinovac
MDV,Oxford/AstraZeneca
MLI,Oxford/AstraZeneca
MLT,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
MRT,Sinopharm/Beijing
MUS,Oxford/AstraZeneca
MEX,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinovac/ Sputnik V
MDA,Oxford/AstraZeneca
MCO,Pfizer/BioNTech
MNG,Oxford/AstraZeneca
MNE,Sinopharm/Beijing/ Sputnik V
MSR,Oxford/AstraZeneca
MAR,Oxford/AstraZeneca/ Sinopharm/Beijing
MOZ,Sinopharm/Beijing
MMR,Oxford/AstraZeneca
NAM,Sinopharm/Beijing
NPL,Oxford/AstraZeneca
NLD,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
NZL,Pfizer/BioNTech
NGA,Oxford/AstraZeneca
MKD,Pfizer/BioNTech
OWID_CYN,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinovac
OWID_NIR,Oxford/AstraZeneca/ Pfizer/BioNTech
NOR,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
OMN,Oxford/AstraZeneca/ Pfizer/BioNTech
PAK,Oxford/AstraZeneca/ Sinopharm/Beijing/ Sputnik V
PSE,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
PAN,Pfizer/BioNTech
PNG,Oxford/AstraZeneca
PRY,Sputnik V
PER,Pfizer/BioNTech/ Sinopharm/Beijing
PHL,Oxford/AstraZeneca/ Sinovac
POL,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
PRT,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
QAT,Pfizer/BioNTech
ROU,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
RUS,EpiVacCorona/ Sputnik V
RWA,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
SHN,Oxford/AstraZeneca
KNA,Oxford/AstraZeneca
LCA,Oxford/AstraZeneca
VCT,Oxford/AstraZeneca
SMR,Pfizer/BioNTech/ Sputnik V
STP,Oxford/AstraZeneca
SAU,Oxford/AstraZeneca/ Pfizer/BioNTech
OWID_SCT,Oxford/AstraZeneca/ Pfizer/BioNTech
SEN,Sinopharm/Beijing
SRB,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinopharm/Beijing/ Sputnik V
SYC,Oxford/AstraZeneca/ Sinopharm/Beijing
SLE,Oxford/AstraZeneca
SGP,Moderna/ Pfizer/BioNTech
SVK,Pfizer/BioNTech
SVN,Oxford/AstraZeneca/ Pfizer/BioNTech
SLB,Oxford/AstraZeneca
ZAF,Johnson&Johnson
KOR,Oxford/AstraZeneca/ Pfizer/BioNTech
ESP,Moderna/ Oxford/AstraZeneca/ Pfizer/BioNTech
LKA,Oxford/AstraZeneca
SDN,Oxford/AstraZeneca
SUR,Oxford/AstraZeneca
SWE,Oxford/AstraZeneca/ Pfizer/BioNTech
CHE,Moderna/ Pfizer/BioNTech
SYR,Sputnik V
TWN,Oxford/AstraZeneca
THA,Oxford/AstraZeneca/ Sinovac
TGO,Oxford/AstraZeneca
TTO,Oxford/AstraZeneca
TUN,Pfizer/BioNTech/ Sinovac/ Sputnik V
TUR,Pfizer/BioNTech/ Sinovac
TCA,Pfizer/BioNTech
UGA,Oxford/AstraZeneca
UKR,Oxford/AstraZeneca
ARE,Oxford/AstraZeneca/ Pfizer/BioNTech/ Sinopharm/Beijing/ Sinopharm/Wuhan/ Sputnik V
GBR,Oxford/AstraZeneca/ Pfizer/BioNTech
USA,Johnson&Johnson/ Moderna/ Pfizer/BioNTech
URY,Pfizer/BioNTech/ Sinovac
UZB,Oxford/AstraZeneca
VEN,Sputnik V
VNM,Oxford/AstraZeneca
OWID_WLS,Oxford/AstraZeneca/ Pfizer/BioNTech
ZWE,Sinopharm/Beijing
